kota_administrasi,kecamatan,kelurahan,lama_genangan,jumlah_tempat_pengungsian,jumlah_luka_ringan,jumlah_luka_berat,jumlah_meninggal,ketinggian_air_minimal,ketinggian_air_maksimal,avg_ketinggian_air,total_kejadian,total_rw,cluster
4.0,26.0,22.0,13.0,95.0,0.0,0.0,1.0,20.0,250.0,135.0,13.0,11.0,1.0
4.0,26.0,305.0,13.0,69.0,0.0,0.0,5.0,30.0,400.0,215.0,13.0,8.0,2.0
4.0,88.0,57.0,9.0,27.0,0.0,0.0,0.0,30.0,260.0,145.0,9.0,8.0,1.0
4.0,88.0,70.0,10.0,40.0,0.0,0.0,0.0,40.0,300.0,170.0,10.0,5.0,1.0
4.0,88.0,14.0,3.0,17.0,0.0,0.0,0.0,30.0,150.0,90.0,3.0,4.0,1.0
4.0,88.0,88.0,3.0,1.0,0.0,0.0,0.0,60.0,80.0,70.0,3.0,4.0,1.0
4.0,115.0,107.0,3.0,3.0,0.0,0.0,0.0,50.0,100.0,75.0,3.0,3.0,1.0
4.0,97.0,322.0,3.0,6.0,0.0,0.0,0.0,25.0,120.0,72.5,3.0,2.0,3.0
4.0,95.0,366.0,3.0,2.0,0.0,0.0,0.0,50.0,100.0,75.0,3.0,3.0,2.0
4.0,95.0,79.0,3.0,2.0,0.0,0.0,0.0,20.0,110.0,65.0,3.0,3.0,1.0
4.0,95.0,116.0,3.0,3.0,0.0,0.0,0.0,20.0,110.0,65.0,3.0,3.0,1.0
4.0,95.0,455.0,3.0,0.0,0.0,0.0,0.0,50.0,100.0,75.0,3.0,1.0,2.0
4.0,95.0,324.0,3.0,7.0,0.0,0.0,0.0,10.0,100.0,55.0,3.0,10.0,3.0
4.0,16.0,458.0,3.0,0.0,0.0,0.0,0.0,30.0,90.0,60.0,3.0,5.0,2.0
4.0,16.0,367.0,3.0,0.0,0.0,0.0,0.0,30.0,40.0,35.0,3.0,1.0,0.0
4.0,16.0,459.0,3.0,0.0,0.0,0.0,0.0,30.0,40.0,35.0,3.0,3.0,0.0
4.0,16.0,89.0,3.0,0.0,0.0,0.0,0.0,30.0,40.0,35.0,3.0,1.0,4.0
4.0,8.0,130.0,3.0,0.0,0.0,0.0,0.0,20.0,80.0,50.0,3.0,1.0,4.0
4.0,8.0,486.0,3.0,7.0,0.0,0.0,0.0,60.0,120.0,90.0,3.0,3.0,2.0
4.0,8.0,56.0,3.0,0.0,0.0,0.0,0.0,40.0,80.0,60.0,3.0,4.0,1.0
